arquivo_completo,negative,positive,artista,musica,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/2/2_Unlimited_-_Twilight_Zone.mid,0.2857142857142857,0.7142857142857142,2-unlimited,twilight-zone,0.125,0.15625,0.03125,0.0625,0.25,0.125,0.125,0.125
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/3/3_doors_down-away_from_the_sun.mid,0.058823529411764705,0.9411764705882353,3-doors-down,away-from-the-sun,0,0.2040816326530612,0,0,0.2857142857142857,0.02040816326530612,0.2040816326530612,0.2857142857142857
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/3/3_doors_down-be_like_that.mid,0.4444444444444444,0.5555555555555556,3-doors-down,be-like-that,0,0.06666666666666667,0.06666666666666667,0,0.2,0.26666666666666666,0.13333333333333333,0.26666666666666666
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/3/3_doors_down-here_without_you.mid,0.23529411764705882,0.7647058823529411,3-doors-down,here-without-you,0.07894736842105263,0.15789473684210525,0.07894736842105263,0.10526315789473684,0.3421052631578947,0.13157894736842105,0.05263157894736842,0.05263157894736842
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/3/3_doors_down-kryptonite.mid,0.2,0.8,3-doors-down,kryptonite,0.10256410256410256,0.15384615384615385,0,0.10256410256410256,0.23076923076923075,0.15384615384615385,0,0.2564102564102564
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/3/3_doors_down-so_i_need_you.mid,0.3684210526315789,0.631578947368421,3-doors-down,so-i-need-you,0.08,0.16,0.12,0.04,0.32,0.12,0.04,0.12
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/3/3_doors_down-when_im_gone.mid,0.52,0.48,3-doors-down,when-im-gone,0.12121212121212122,0.12121212121212122,0.030303030303030304,0.09090909090909091,0.36363636363636365,0.06060606060606061,0.09090909090909091,0.12121212121212122
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/3/311_-_All_Mixed_Up.mid,0.7307692307692308,0.2692307692307693,311,all-mixed-up,0,0.22,0.08,0.18,0.08,0.24,0.04,0.16
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/3/311_-_Down.mid,0.42857142857142855,0.5714285714285714,311,down,0.13157894736842105,0.10526315789473684,0.10526315789473684,0.18421052631578946,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.10526315789473684
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/4/4 Clubbers - Together.mid,0.3333333333333333,0.6666666666666666,4-clubbers,together,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-candy_shop.mid,0.6052631578947368,0.39473684210526316,50-cent,candy-shop,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.08771929824561403,0.15789473684210525,0.03508771929824561,0.05263157894736842,0.14035087719298245
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-disco_inferno.mid,0.3333333333333333,0.6666666666666666,50-cent,disco-inferno,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0.3333333333333333
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-god_gave_me_style.mid,0.12987012987012989,0.8701298701298702,50-cent,god-gave-me-style,0.025252525252525256,0.20202020202020204,0.020202020202020204,0.13636363636363638,0.24242424242424243,0.04040404040404041,0.11111111111111112,0.22222222222222224
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-im_supposed_to_die_tonight.mid,0.7000000000000001,0.3,50-cent,im-supposed-to-die-tonight,0.27710843373493976,0.060240963855421686,0.16867469879518074,0.16867469879518074,0.060240963855421686,0.12048192771084337,0.07228915662650603,0.07228915662650603
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-in_da_club.mid,0.30357142857142855,0.6964285714285714,50-cent,in-da-club,0.12096774193548387,0.18548387096774194,0.06451612903225806,0.11290322580645161,0.2096774193548387,0.08064516129032258,0.0967741935483871,0.12903225806451613
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-just_a_lil_bit.mid,0.3870967741935484,0.6129032258064516,50-cent,just-a-lil-bit,0.1568627450980392,0.0784313725490196,0.11764705882352941,0.11764705882352941,0.1764705882352941,0.0784313725490196,0.058823529411764705,0.21568627450980393
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-outta_control.mid,0.5,0.5,50-cent,outta-control,0.19642857142857142,0.07142857142857142,0.17857142857142855,0.08928571428571427,0.14285714285714285,0.07142857142857142,0.10714285714285714,0.14285714285714285
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-patiently_waiting.mid,0.7441860465116279,0.2558139534883721,50-cent,patiently-waiting,0.2122905027932961,0.1452513966480447,0.1005586592178771,0.1452513966480447,0.06145251396648045,0.16201117318435754,0.1005586592178771,0.07262569832402235
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-piggy_bank.mid,0.625,0.375,50-cent,piggy-bank,0.2232142857142857,0.09821428571428571,0.13392857142857142,0.09821428571428571,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.125
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-pimp.mid,0.6,0.4,50-cent,pimp,0.18181818181818182,0.08080808080808081,0.15151515151515152,0.13131313131313133,0.10101010101010102,0.13131313131313133,0.11111111111111112,0.11111111111111112
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/5/50_cent-position_of_power.mid,0.6481481481481481,0.35185185185185186,50-cent,position-of-power,0.23711340206185566,0.1134020618556701,0.10309278350515463,0.15463917525773196,0.08247422680412371,0.08247422680412371,0.1134020618556701,0.1134020618556701
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-analogue.mid,0.38461538461538464,0.6153846153846154,a-ha,analogue,0.08571428571428572,0.17142857142857143,0.08571428571428572,0.11428571428571428,0.19999999999999998,0.08571428571428572,0.08571428571428572,0.17142857142857143
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-and_you_tell_me.mid,0.30000000000000004,0.7000000000000001,a-ha,and-you-tell-me,0.15000000000000002,0.15000000000000002,0.05,0.1,0.35000000000000003,0.1,0,0.1
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-celice.mid,0.625,0.375,a-ha,celice,0.19047619047619047,0.09523809523809523,0,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.047619047619047616,0.14285714285714285
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-crying_in_the_rain.mid,0.6470588235294118,0.3529411764705882,a-ha,crying-in-the-rain,0.06756756756756757,0.0945945945945946,0.04054054054054054,0.17567567567567569,0.16216216216216217,0.1891891891891892,0.10810810810810811,0.16216216216216217
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-foot_of_the_mountain.mid,0.36363636363636365,0.6363636363636364,a-ha,foot-of-the-mountain,0.047619047619047616,0.42857142857142855,0,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.09523809523809523
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-here_i_stand_and_face_the_rain.mid,0.42857142857142855,0.5714285714285714,a-ha,here-i-stand-and-face-the-rain,0.2,0.26666666666666666,0,0.2,0.13333333333333333,0.06666666666666667,0,0.13333333333333333
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-hunting_high_and_low.mid,0.7272727272727273,0.2727272727272727,a-ha,hunting-high-and-low,0.25,0.3125,0,0.3125,0.0625,0.03125,0.03125,0
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-ive_been_losing_you.mid,0.7333333333333333,0.26666666666666666,a-ha,ive-been-losing-you,0.2,0.04,0.12,0.12,0.08,0.28,0.08,0.08
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-living_a_boys_adventure_tale.mid,0.15625,0.84375,a-ha,living-a-boys-adventure-tale,0,0.4545454545454546,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.09090909090909091,0.030303030303030304,0.12121212121212122
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-locust.mid,0.41666666666666663,0.5833333333333333,a-ha,locust,0,0.16666666666666666,0,0.2777777777777778,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.1111111111111111
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-love_is_reason.mid,0.19047619047619047,0.8095238095238095,a-ha,love-is-reason,0.1111111111111111,0.18518518518518517,0.037037037037037035,0.1111111111111111,0.3333333333333333,0.14814814814814814,0.037037037037037035,0.037037037037037035
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-manhattan_skyline.mid,0.8333333333333333,0.16666666666666666,a-ha,manhattan-skyline,0.08108108108108109,0.10810810810810811,0,0.16216216216216217,0.08108108108108109,0.3783783783783784,0.08108108108108109,0.10810810810810811
c:/musica/130000_Pop_Rock_Classical_Videogame_EDM_MIDI_Archive[6_19_15]/A/A/a_ha-seemingly_nonstop_july.mid,0.4,0.6000000000000001,a-ha,seemingly-nonstop-july,0,0.125,0,0.125,0.3125,0,0.1875,0.25
